source_row,dataset_id,food_name,category,before_filename,before_mass_g,after_filename,after_mass_g,observer_score,status,reason
78,78,Nasi,001,001_148_DSC_0552_bef.JPG,136,001_148_DSC_0585_aft.JPG,0,7,matched_valid,
79,79,Nasi,001,001_155_DSC_0628_bef.JPG,108,001_155_DSC_0639_aft.JPG,0,7,matched_valid,
80,80,Nasi,001,001_156_DSC_0629_bef.JPG,72,001_156_DSC_0646_aft.JPG,0,7,matched_valid,
81,81,Tim,002,002_004_DSC_0057_bef.JPG,154,002_004_DSC_0085_aft.JPG,41,5,matched_valid,
82,82,Tim,002,002_005_DSC_0056_bef.JPG,174,002_005_DSC_0082_aft.JPG,6,6,matched_valid,
83,83,Tim,002,002_006_DSC_0087_bef.JPG,178,002_006_DSC_0088_aft.JPG,178,1,matched_valid,
84,84,Tim,002,002_007_DSC_0043_bef.JPG,182,002_007_DSC_0077_aft.JPG,106,4,matched_valid,
85,85,Tim,002,002_011_DSC_0157_bef.JPG,168,002_011_DSC_0175_aft.JPG,57,5,matched_valid,
86,86,Tim,002,002_016_DSC_0207_bef.JPG,168,002_016_DSC_0254_aft.JPG,44,5,matched_valid,
87,87,Tim,002,002_017_DSC_0189_bef.JPG,149,002_017_DSC_0223_aft.JPG,0,7,matched_valid,
88,88,Tim,002,002_018_DSC_0194_bef.JPG,147,002_018_DSC_0232_aft.JPG,0,7,matched_valid,
89,89,Tim,002,002_019_DSC_0208_bef.JPG,156,002_019_DSC_0244_aft.JPG,125,3,matched_valid,
90,90,Tim,002,002_020_DSC_0209_bef.JPG,132,002_020_DSC_0248_aft.JPG,75,5,matched_valid,
91,91,Tim,002,002_024_DSC_0280_bef.JPG,179,002_024_DSC_0307_aft.JPG,127,4,matched_valid,
92,92,Tim,002,002_025_DSC_0281_bef.JPG,168,002_025_DSC_0300_aft.JPG,60,7,matched_valid,
93,93,Tim,002,002_032_DSC_0349_bef.JPG,183,002_032_DSC_0410_aft.JPG,0,7,matched_valid,
94,94,Tim,002,002_033_DSC_0348_bef.JPG,172,002_033_DSC_0402_aft.JPG,0,7,matched_valid,
95,95,Tim,002,002_034_DSC_0346_bef.JPG,172,002_034_DSC_0396_aft.JPG,0,7,matched_valid,
96,96,Tim,002,002_035_DSC_0347_bef.JPG,171,002_035_DSC_0387_aft.JPG,63,4,matched_valid,
97,97,Tim,002,002_039_DSC_0425_bef.JPG,117,002_039_DSC_0495_aft.JPG,43,7,matched_valid,
98,98,Tim,002,002_040_DSC_0426_bef.JPG,189,002_040_DSC_0499_aft.JPG,0,7,matched_valid,
99,99,Tim,002,002_041_DSC_0432_bef.JPG,227,002_041_DSC_0489_aft.JPG,1,7,matched_valid,
100,100,Tim,002,002_042_DSC_0433_bef.JPG,123,002_042_DSC_0493_aft.JPG,87,4,matched_valid,
101,101,Tim,002,002_043_DSC_0434_bef.JPG,152,002_043_DSC_0482_aft.JPG,49,5,matched_valid,
102,102,Tim,002,002_047_DSC_0520_bef.JPG,183,002_047_DSC_0586_aft.JPG,181,1,matched_valid,
103,103,Tim,002,002_048_DSC_0519_bef.JPG,183,002_048_DSC_0599_aft.JPG,145,3,matched_valid,
104,104,Tim,002,002_056_DSC_0639_bef.JPG,167,002_056_DSC_0696_aft.JPG,18,6,matched_valid,
105,105,Tim,002,002_057_DSC_0640_bef.JPG,145,002_057_DSC_0697_aft.JPG,27,5,matched_valid,
106,106,Tim,002,002_058_DSC_0648_bef.JPG,190,002_058_DSC_0668_aft.JPG,157,3,matched_valid,
107,107,Tim,002,002_059_DSC_0650_bef.JPG,175,002_059_DSC_0684_aft.JPG,142,4,matched_valid,
108,108,Tim,002,002_060_DSC_0651_bef.JPG,173,002_060_DSC_0674_aft.JPG,0,7,matched_valid,
109,109,Tim,002,002_061_DSC_0652_bef.JPG,124,002_061_DSC_0679_aft.JPG,54,3,matched_valid,
110,110,Tim,002,002_068_DSC_0749_bef.JPG,152,002_068_DSC_0796_aft.JPG,0,7,matched_valid,
111,111,Tim,002,002_069_DSC_0750_bef.JPG,156,002_069_DSC_0798_aft.JPG,94,4,matched_valid,
112,112,Tim,002,002_070_DSC_0711_bef.JPG,149,002_070_DSC_0767_aft.JPG,95,4,matched_valid,
113,113,Tim,002,002_071_DSC_0742_bef.JPG,129,002_071_DSC_0782_aft.JPG,2,7,matched_valid,
114,114,Tim,002,002_072_DSC_0712_bef.JPG,163,002_072_DSC_0770_aft.JPG,143,3,matched_valid,
115,115,Tim,002,002_073_DSC_0713_bef.JPG,159,002_073_DSC_0774_aft.JPG,159,2,matched_valid,
116,116,Tim,002,002_080_DSC_0823_bef.JPG,168,002_080_DSC_0903_aft.JPG,161,1,matched_valid,
117,117,Tim,002,002_081_DSC_0859_bef.JPG,162,002_081_DSC_0891_aft.JPG,0,7,matched_valid,
118,118,Tim,002,002_082_DSC_0860_bef.JPG,155,002_082_DSC_0890_aft.JPG,77,4,matched_valid,
119,119,Tim,002,002_083_DSC_0861_bef.JPG,156,002_083_DSC_0899_aft.JPG,5,6,matched_valid,
120,120,Tim,002,002_089_DSC_0925_bef.JPG,145,002_089_DSC_1004_aft.JPG,79,4,matched_valid,
121,121,Tim,002,002_090_DSC_0926_bef.JPG,152,002_090_DSC_0010_aft.JPG,150,1,matched_valid,
122,122,Tim,002,002_091_DSC_0962_bef.JPG,150,002_091_DSC_0004_aft.JPG,0,7,matched_valid,
123,123,Tim,002,002_092_DSC_0963_bef.JPG,146,002_092_DSC_0995_aft.JPG,145,1,matched_valid,
124,124,Tim,002,002_093_DSC_0964_bef.JPG,150,002_093_DSC_1005_aft.JPG,0,7,matched_valid,
125,125,Tim,002,002_094_DSC_0965_bef.JPG,136,002_094_DSC_1011_aft.JPG,71,5,matched_valid,
126,126,Tim,002,002_099_DSC_0028_bef.JPG,188,002_099_DSC_0078_aft.JPG,94,4,matched_valid,
127,127,Tim,002,002_100_DSC_0074_bef.JPG,140,002_100_DSC_0098_aft.JPG,10,6,matched_valid,
128,128,Tim,002,002_101_DSC_0073_bef.JPG,155,002_101_DSC_0102_aft.JPG,0,7,matched_valid,
129,130,Tim,002,002_103_DSC_0071_bef.JPG,170,002_103_DSC_0114_aft.JPG,170,1,matched_valid,
130,131,Tim,002,002_104_DSC_0063_bef.JPG,152,002_104_DSC_0111_aft.JPG,0,7,matched_valid,
131,132,Tim,002,002_111_DSC_0166_bef.JPG,205,002_111_DSC_0204_aft.JPG,203,3,matched_valid,
132,133,Tim,002,002_112_DSC_0167_bef.JPG,152,002_112_DSC_0212_aft.JPG,0,7,matched_valid,
133,134,Tim,002,002_113_DSC_0168_bef.JPG,151,002_113_DSC_0200_aft.JPG,16,6,matched_valid,
134,135,Tim,002,002_114_DSC_0169_bef.JPG,157,002_114_DSC_0208_aft.JPG,112,4,matched_valid,
135,136,Tim,002,002_115_DSC_0161_bef.JPG,193,002_115_DSC_0195_aft.JPG,0,7,matched_valid,
136,137,Tim,002,002_120_DSC_0216_bef.JPG,165,002_120_DSC_0276_aft.JPG,0,7,matched_valid,
137,138,Tim,002,002_121_DSC_0217_bef.JPG,159,002_121_DSC_0290_aft.JPG,0,7,matched_valid,
138,139,Tim,002,002_122_DSC_0218_bef.JPG,152,002_122_DSC_0296_aft.JPG,0,7,matched_valid,
139,140,Tim,002,002_123_DSC_0219_bef.JPG,158,002_123_DSC_0285_aft.JPG,27,6,matched_valid,
140,142,Tim,002,002_130_DSC_0313_bef.JPG,174,002_130_DSC_0362_aft.JPG,1,7,matched_valid,
141,143,Tim,002,002_131_DSC_0310_bef.JPG,170,002_131_DSC_0397_aft.JPG,131,3,matched_valid,
142,144,Tim,002,002_132_DSC_0312_bef.JPG,190,002_132_DSC_0361_aft.JPG,2,6,matched_valid,
143,145,Tim,002,002_133_DSC_0311_bef.JPG,174,002_133_DSC_0383_aft.JPG,2,7,matched_valid,
144,146,Tim,002,002_138_DSC_0424_bef.JPG,186,002_138_DSC_0490_aft.JPG,184,1,matched_valid,
145,147,Tim,002,002_139_DSC_0425_bef.JPG,183,002_139_DSC_0491_aft.JPG,74,5,matched_valid,
146,148,Tim,002,002_140_DSC_0421_bef.JPG,168,002_140_DSC_0469_aft.JPG,94,4,matched_valid,
147,149,Tim,002,002_141_DSC_0422_bef.JPG,159,002_141_DSC_0467_aft.JPG,117,3,matched_valid,
148,150,Tim,002,002_142_DSC_0423_bef.JPG,160,002_142_DSC_0472_aft.JPG,159,1,matched_valid,
149,151,Tim,002,002_143_DSC_0434_bef.JPG,196,002_143_DSC_0458_aft.JPG,155,1,matched_valid,
150,152,Tim,002,002_149_DSC_0532_bef.JPG,185,002_149_DSC_0567_aft.JPG,96,4,matched_valid,
151,153,Tim,002,002_150_DSC_0533_bef.JPG,185,002_150_DSC_0561_aft.JPG,0,7,matched_valid,
152,154,Tim,002,002_151_DSC_0534_bef.JPG,166,002_151_DSC_0556_aft.JPG,0,7,matched_valid,
153,155,Tim,002,002_152_DSC_0543_bef.JPG,159,002_152_DSC_0576_aft.JPG,58,5,matched_valid,
154,156,Tim,002,002_153_DSC_0544_bef.JPG,166,002_153_DSC_0571_aft.JPG,14,6,matched_valid,
155,157,Tim,002,002_154_DSC_0545_bef.JPG,161,002_154_DSC_0602_aft.JPG,109,4,matched_valid,
156,158,Tim,002,002_157_DSC_0606_bef.JPG,150,002_157_DSC_0632_aft.JPG,5,7,matched_valid,
157,159,Telur orak arik,003,003_158_DSC_0018_bef.JPG,39,003_158_DSC_0030_aft.JPG,39,1,matched_valid,
158,160,Kroket Daging,004,004_159_DSC_0065_bef.JPG,28,004_159_DSC_0107_aft.JPG,15,5,matched_valid,
159,161,Kroket Daging,004,004_160_DSC_0069_bef.JPG,17,004_160_DSC_0094_aft.JPG,0,7,matched_valid,
160,162,Kroket Daging,004,004_161_DSC_0071_bef.JPG,24,004_161_DSC_0100_aft.JPG,0,7,matched_valid,
161,163,Kroket Daging,004,004_162_DSC_0045_bef.JPG,25,004_162_DSC_0084_aft.JPG,0,7,matched_valid,
162,164,Kroket Daging,004,004_163_DSC_0048_bef.JPG,26,004_163_DSC_0081_aft.JPG,0,7,matched_valid,
163,165,Kroket Daging,004,004_164_DSC_0050_bef.JPG,27,004_164_DSC_0092_aft.JPG,29,1,matched_excluded,after_mass_exceeds_before_mass
164,166,Kroket Daging,004,004_165_DSC_0039_bef.JPG,27,004_165_DSC_0075_aft.JPG,1,7,matched_valid,
165,167,Kroket Daging,004,004_166_DSC_0062_bef.JPG,24,004_166_DSC_0103_aft.JPG,0,7,matched_valid,
166,168,Kroket Daging,004,004_244_DSC_0968_bef.JPG,26,004_244_DSC_0974_aft.JPG,0,7,matched_valid,
167,169,Kroket Daging,004,004_245_DSC_0949_bef.JPG,28,004_245_DSC_0978_aft.JPG,8,6,matched_valid,
168,170,Kroket Daging,004,004_246_DSC_0958_bef.JPG,26,004_246_DSC_0982_aft.JPG,0,7,matched_valid,
169,171,Kroket Daging,004,004_247_DSC_0956_bef.JPG,21,004_247_DSC_0987_aft.JPG,0,7,matched_valid,
170,172,Kroket Daging,004,004_248_DSC_0917_bef.JPG,21,004_248_DSC_0990_aft.JPG,13,5,matched_valid,
171,173,Kroket Daging,004,004_249_DSC_0935_bef.JPG,29,004_249_DSC_1003_aft.JPG,0,7,matched_valid,
172,174,Kroket Daging,004,004_250_DSC_0966_bef.JPG,20,004_250_DSC_0012_aft.JPG,0,7,matched_valid,
173,175,Kroket Daging,004,004_251_DSC_0927_bef.JPG,29,004_251_DSC_0009_aft.JPG,0,7,matched_valid,
174,176,Kroket Daging,004,004_252_DSC_0931_bef.JPG,24,004_252_DSC_0996_aft.JPG,27,1,matched_excluded,after_mass_exceeds_before_mass
175,177,Kroket Daging,004,004_253_DSC_0939_bef.JPG,25,004_253_DSC_1010_aft.JPG,0,7,matched_valid,
176,178,Kroket Daging,004,004_254_DSC_0944_bef.JPG,20,004_254_DSC_1013_aft.JPG,0,7,matched_valid,
177,179,Opor Ayam,005,005_167_DSC_0127_bef.JPG,52,005_167_DSC_0167_aft.JPG,51,1,matched_valid,
178,180,Opor Ayam,005,005_168_DSC_0148_bef.JPG,35,005_168_DSC_0170_aft.JPG,5,7,matched_valid,
179,181,Opor Telur,006,006_169_DSC_0158_bef.JPG,64,006_169_DSC_0172_aft.JPG,4,6,matched_valid,
180,182,Opor Telur,006,006_203_DSC_0447_bef.JPG,57,006_203_DSC_0484_aft.JPG,57,1,matched_valid,
181,183,Ikan Acar Kuning,007,007_170_DSC_0185_bef.JPG,40,007_170_DSC_0259_aft.JPG,3,6,matched_valid,
182,184,Ikan Acar Kuning,007,007_171_DSC_0179_bef.JPG,28,007_171_DSC_0227_aft.JPG,17,4,matched_valid,
183,185,Ikan Acar Kuning,007,007_172_DSC_0184_bef.JPG,30,007_172_DSC_0235_aft.JPG,30,1,matched_valid,
184,186,Ikan Acar Kuning,007,007_173_DSC_0201_bef.JPG,42,007_173_DSC_0239_aft.JPG,43,1,matched_excluded,after_mass_exceeds_before_mass
185,187,Ikan Acar Kuning,007,007_174_DSC_0211_bef.JPG,25,007_174_DSC_0257_aft.JPG,0,7,matched_valid,
186,188,Ikan Acar Kuning,007,007_175_DSC_0180_bef.JPG,41,007_175_DSC_0226_aft.JPG,0,7,matched_valid,
187,189,Ikan Acar Kuning,007,007_176_DSC_0193_bef.JPG,39,007_176_DSC_0233_aft.JPG,0,7,matched_valid,
188,190,Ikan Acar Kuning,007,007_177_DSC_0213_bef.JPG,49,007_177_DSC_0246_aft.JPG,18,5,matched_valid,
189,191,Ikan Acar Kuning,007,007_178_DSC_0219_bef.JPG,41,007_178_DSC_0251_aft.JPG,41,2,matched_valid,
190,192,Ikan Acar Kuning,007,007_265_DSC_0126_bef.JPG,39,007_265_DSC_0177_aft.JPG,18,4,matched_valid,
191,193,Ikan Acar Kuning,007,007_266_DSC_0127_bef.JPG,37,007_266_DSC_0185_aft.JPG,39,1,matched_excluded,after_mass_exceeds_before_mass
192,194,Ikan Acar Kuning,007,007_267_DSC_0132_bef.JPG,32,007_267_DSC_0187_aft.JPG,0,7,matched_valid,
193,195,Ikan Acar Kuning,007,007_268_DSC_0129_bef.JPG,40,007_268_DSC_0190_aft.JPG,40,1,matched_valid,
194,196,Ikan Acar Kuning,007,007_269_DSC_0136_bef.JPG,36,007_269_DSC_0172_aft.JPG,35,1,matched_valid,
195,197,Ikan Acar Kuning,007,007_270_DSC_0133_bef.JPG,37,007_270_DSC_0178_aft.JPG,0,7,matched_valid,
196,198,Ikan Acar Kuning,007,007_271_DSC_0153_bef.JPG,39,007_271_DSC_0205_aft.JPG,25,3,matched_valid,
197,199,Ikan Acar Kuning,007,007_272_DSC_0157_bef.JPG,48,007_272_DSC_0213_aft.JPG,51,1,matched_excluded,after_mass_exceeds_before_mass
198,200,Ikan Acar Kuning,007,007_273_DSC_0151_bef.JPG,39,007_273_DSC_0201_aft.JPG,8,5,matched_valid,
199,201,Ikan Acar Kuning,007,007_274_DSC_0155_bef.JPG,36,007_274_DSC_0209_aft.JPG,0,7,matched_valid,
200,202,Ikan Acar Kuning,007,007_275_DSC_0148_bef.JPG,62,007_275_DSC_0197_aft.JPG,0,7,matched_valid,
201,203,Bali Putih Telur,008,008_179_DSC_0271_bef.JPG,22,008_179_DSC_0329_aft.JPG,3,6,matched_valid,
202,204,Bali Putih Telur,008,008_180_DSC_0275_bef.JPG,51,008_180_DSC_0323_aft.JPG,3,6,matched_valid,
203,205,Bali Putih Telur,008,008_182_DSC_0273_bef.JPG,41,008_182_DSC_0304_aft.JPG,36,4,matched_valid,
204,206,Bali Putih Telur,008,008_183_DSC_0277_bef.JPG,44,008_183_DSC_0302_aft.JPG,1,7,matched_valid,
205,207,Bali Telur,009,009_181_DSC_0282_bef.JPG,55,009_181_DSC_0340_aft.JPG,0,7,matched_valid,
206,208,Bali Telur,009,009_184_DSC_0284_bef.JPG,57,009_184_DSC_0318_aft.JPG,57,1,matched_valid,
207,209,Bali Telur,009,009_234_DSC_0827_bef.JPG,52,009_234_DSC_0881_aft.JPG,0,7,matched_valid,
208,210,Bali Telur,009,009_235_DSC_0864_bef.JPG,59,009_235_DSC_0911_aft.JPG,0,7,matched_valid,
209,211,Bali Telur,009,009_236_DSC_0865_bef.JPG,51,009_236_DSC_0914_aft.JPG,0,7,matched_valid,
210,212,Bali Telur,009,009_237_DSC_0840_bef.JPG,61,009_237_DSC_0876_aft.JPG,15,4,matched_valid,
211,213,Bali Telur,009,009_238_DSC_0835_bef.JPG,51,009_238_DSC_0871_aft.JPG,0,7,matched_valid,
212,214,Bali Telur,009,009_239_DSC_0837_bef.JPG,58,009_239_DSC_0868_aft.JPG,0,7,matched_valid,
213,215,Bali Telur,009,009_240_DSC_0829_bef.JPG,54,009_240_DSC_0904_aft.JPG,54,1,matched_valid,
214,216,Bali Telur,009,009_241_DSC_0845_bef.JPG,64,009_241_DSC_0886_aft.JPG,0,7,matched_valid,
215,217,Bali Telur,009,009_242_DSC_0849_bef.JPG,57,009_242_DSC_0893_aft.JPG,23,4,matched_valid,
216,218,Bali Telur,009,009_243_DSC_0852_bef.JPG,52,009_243_DSC_0895_aft.JPG,7,6,matched_valid,
217,219,Bali Telur,009,009_276_DSC_0223_bef.JPG,57,009_276_DSC_0275_aft.JPG,53,1,matched_valid,
218,220,Bali Telur,009,009_277_DSC_0250_bef.JPG,53,009_277_DSC_0303_aft.JPG,0,7,matched_valid,
219,221,Bali Telur,009,009_278_DSC_0253_bef.JPG,53,009_278_DSC_0307_aft.JPG,0,7,matched_valid,
220,222,Bali Telur,009,009_279_DSC_0260_bef.JPG,59,009_279_DSC_0269_aft.JPG,0,7,matched_valid,
221,223,Bali Telur,009,009_280_DSC_0226_bef.JPG,60,009_280_DSC_0278_aft.JPG,0,7,matched_valid,
222,224,Bali Telur,009,009_281_DSC_0236_bef.JPG,51,009_281_DSC_0291_aft.JPG,0,7,matched_valid,
223,225,Bali Telur,009,009_282_DSC_0231_bef.JPG,59,009_282_DSC_0297_aft.JPG,0,7,matched_valid,
224,226,Bali Telur,009,009_283_DSC_0240_bef.JPG,56,009_283_DSC_0283_aft.JPG,56,1,matched_valid,
225,227,Bali Telur,009,009_284_DSC_0258_bef.JPG,59,009_284_DSC_0265_aft.JPG,58,1,matched_valid,
226,228,Ayam Bumbu Srundeng,010,010_185_DSC_0370_bef.JPG,68,010_185_DSC_0423_aft.JPG,39,4,matched_valid,
227,229,Ayam Bumbu Srundeng,010,010_186_DSC_0373_bef.JPG,64,010_186_DSC_0414_aft.JPG,30,5,matched_valid,
