sample_id,original_after_path,wrong_after_path,source_sample_id,rule,scope
lefood-0045,leftover dataset/data_after/001/001_079_DSC_0872_aft.JPG,leftover dataset/data_after/001/001_084_DSC_0973_aft.JPG,lefood-0046,within_category_cyclic,training
lefood-0046,leftover dataset/data_after/001/001_084_DSC_0973_aft.JPG,leftover dataset/data_after/001/001_085_DSC_0977_aft.JPG,lefood-0047,within_category_cyclic,training
lefood-0047,leftover dataset/data_after/001/001_085_DSC_0977_aft.JPG,leftover dataset/data_after/001/001_086_DSC_0981_aft.JPG,lefood-0048,within_category_cyclic,training
lefood-0048,leftover dataset/data_after/001/001_086_DSC_0981_aft.JPG,leftover dataset/data_after/001/001_087_DSC_0988_aft.JPG,lefood-0049,within_category_cyclic,training
lefood-0049,leftover dataset/data_after/001/001_087_DSC_0988_aft.JPG,leftover dataset/data_after/001/001_088_DSC_0989_aft.JPG,lefood-0050,within_category_cyclic,training
lefood-0050,leftover dataset/data_after/001/001_088_DSC_0989_aft.JPG,leftover dataset/data_after/001/001_095_DSC_0094_aft.JPG,lefood-0051,within_category_cyclic,training
lefood-0051,leftover dataset/data_after/001/001_095_DSC_0094_aft.JPG,leftover dataset/data_after/001/001_096_DSC_0088_aft.JPG,lefood-0052,within_category_cyclic,training
lefood-0052,leftover dataset/data_after/001/001_096_DSC_0088_aft.JPG,leftover dataset/data_after/001/001_097_DSC_0085_aft.JPG,lefood-0053,within_category_cyclic,training
lefood-0053,leftover dataset/data_after/001/001_097_DSC_0085_aft.JPG,leftover dataset/data_after/001/001_098_DSC_0079_aft.JPG,lefood-0054,within_category_cyclic,training
lefood-0054,leftover dataset/data_after/001/001_098_DSC_0079_aft.JPG,leftover dataset/data_after/001/001_105_DSC_0181_aft.JPG,lefood-0055,within_category_cyclic,training
lefood-0055,leftover dataset/data_after/001/001_105_DSC_0181_aft.JPG,leftover dataset/data_after/001/001_106_DSC_0183_aft.JPG,lefood-0056,within_category_cyclic,training
lefood-0056,leftover dataset/data_after/001/001_106_DSC_0183_aft.JPG,leftover dataset/data_after/001/001_107_DSC_0186_aft.JPG,lefood-0057,within_category_cyclic,training
lefood-0057,leftover dataset/data_after/001/001_107_DSC_0186_aft.JPG,leftover dataset/data_after/001/001_108_DSC_0192_aft.JPG,lefood-0058,within_category_cyclic,training
lefood-0058,leftover dataset/data_after/001/001_108_DSC_0192_aft.JPG,leftover dataset/data_after/001/001_109_DSC_0170_aft.JPG,lefood-0059,within_category_cyclic,training
lefood-0059,leftover dataset/data_after/001/001_109_DSC_0170_aft.JPG,leftover dataset/data_after/001/001_110_DSC_0174_aft.JPG,lefood-0060,within_category_cyclic,training
lefood-0060,leftover dataset/data_after/001/001_110_DSC_0174_aft.JPG,leftover dataset/data_after/001/001_116_DSC_0272_aft.JPG,lefood-0061,within_category_cyclic,training
lefood-0061,leftover dataset/data_after/001/001_116_DSC_0272_aft.JPG,leftover dataset/data_after/001/001_117_DSC_0302_aft.JPG,lefood-0062,within_category_cyclic,training
lefood-0062,leftover dataset/data_after/001/001_117_DSC_0302_aft.JPG,leftover dataset/data_after/001/001_118_DSC_0306_aft.JPG,lefood-0063,within_category_cyclic,training
lefood-0063,leftover dataset/data_after/001/001_118_DSC_0306_aft.JPG,leftover dataset/data_after/001/001_119_DSC_0268_aft.JPG,lefood-0064,within_category_cyclic,training
lefood-0064,leftover dataset/data_after/001/001_119_DSC_0268_aft.JPG,leftover dataset/data_after/001/001_125_DSC_0396_aft.JPG,lefood-0065,within_category_cyclic,training
lefood-0065,leftover dataset/data_after/001/001_125_DSC_0396_aft.JPG,leftover dataset/data_after/001/001_126_DSC_0390_aft.JPG,lefood-0066,within_category_cyclic,training
lefood-0066,leftover dataset/data_after/001/001_126_DSC_0390_aft.JPG,leftover dataset/data_after/001/001_127_DSC_0393_aft.JPG,lefood-0067,within_category_cyclic,training
lefood-0067,leftover dataset/data_after/001/001_127_DSC_0393_aft.JPG,leftover dataset/data_after/001/001_128_DSC_0371_aft.JPG,lefood-0068,within_category_cyclic,training
lefood-0068,leftover dataset/data_after/001/001_128_DSC_0371_aft.JPG,leftover dataset/data_after/001/001_129_DSC_0377_aft.JPG,lefood-0069,within_category_cyclic,training
lefood-0069,leftover dataset/data_after/001/001_129_DSC_0377_aft.JPG,leftover dataset/data_after/001/001_134_DSC_0487_aft.JPG,lefood-0070,within_category_cyclic,training
lefood-0070,leftover dataset/data_after/001/001_134_DSC_0487_aft.JPG,leftover dataset/data_after/001/001_135_DSC_0484_aft.JPG,lefood-0071,within_category_cyclic,training
lefood-0071,leftover dataset/data_after/001/001_135_DSC_0484_aft.JPG,leftover dataset/data_after/001/001_136_DSC_0479_aft.JPG,lefood-0072,within_category_cyclic,training
lefood-0072,leftover dataset/data_after/001/001_136_DSC_0479_aft.JPG,leftover dataset/data_after/001/001_137_DSC_0455_aft.JPG,lefood-0073,within_category_cyclic,training
lefood-0073,leftover dataset/data_after/001/001_137_DSC_0455_aft.JPG,leftover dataset/data_after/001/001_144_DSC_0586_aft.JPG,lefood-0074,within_category_cyclic,training
lefood-0074,leftover dataset/data_after/001/001_144_DSC_0586_aft.JPG,leftover dataset/data_after/001/001_145_DSC_0591_aft.JPG,lefood-0075,within_category_cyclic,training
lefood-0075,leftover dataset/data_after/001/001_145_DSC_0591_aft.JPG,leftover dataset/data_after/001/001_146_DSC_0598_aft.JPG,lefood-0076,within_category_cyclic,training
lefood-0076,leftover dataset/data_after/001/001_146_DSC_0598_aft.JPG,leftover dataset/data_after/001/001_147_DSC_0580_aft.JPG,lefood-0077,within_category_cyclic,training
lefood-0077,leftover dataset/data_after/001/001_147_DSC_0580_aft.JPG,leftover dataset/data_after/001/001_148_DSC_0585_aft.JPG,lefood-0078,within_category_cyclic,training
lefood-0078,leftover dataset/data_after/001/001_148_DSC_0585_aft.JPG,leftover dataset/data_after/001/001_155_DSC_0639_aft.JPG,lefood-0079,within_category_cyclic,training
lefood-0079,leftover dataset/data_after/001/001_155_DSC_0639_aft.JPG,leftover dataset/data_after/001/001_156_DSC_0646_aft.JPG,lefood-0080,within_category_cyclic,training
lefood-0080,leftover dataset/data_after/001/001_156_DSC_0646_aft.JPG,leftover dataset/data_after/001/001_001_DSC_0108_aft.JPG,lefood-0002,within_category_cyclic,training
lefood-0081,leftover dataset/data_after/002/002_004_DSC_0085_aft.JPG,leftover dataset/data_after/002/002_005_DSC_0082_aft.JPG,lefood-0082,within_category_cyclic,training
lefood-0082,leftover dataset/data_after/002/002_005_DSC_0082_aft.JPG,leftover dataset/data_after/002/002_006_DSC_0088_aft.JPG,lefood-0083,within_category_cyclic,training
lefood-0083,leftover dataset/data_after/002/002_006_DSC_0088_aft.JPG,leftover dataset/data_after/002/002_007_DSC_0077_aft.JPG,lefood-0084,within_category_cyclic,training
lefood-0084,leftover dataset/data_after/002/002_007_DSC_0077_aft.JPG,leftover dataset/data_after/002/002_011_DSC_0175_aft.JPG,lefood-0085,within_category_cyclic,training
lefood-0085,leftover dataset/data_after/002/002_011_DSC_0175_aft.JPG,leftover dataset/data_after/002/002_016_DSC_0254_aft.JPG,lefood-0086,within_category_cyclic,training
lefood-0086,leftover dataset/data_after/002/002_016_DSC_0254_aft.JPG,leftover dataset/data_after/002/002_017_DSC_0223_aft.JPG,lefood-0087,within_category_cyclic,training
lefood-0087,leftover dataset/data_after/002/002_017_DSC_0223_aft.JPG,leftover dataset/data_after/002/002_018_DSC_0232_aft.JPG,lefood-0088,within_category_cyclic,training
lefood-0088,leftover dataset/data_after/002/002_018_DSC_0232_aft.JPG,leftover dataset/data_after/002/002_019_DSC_0244_aft.JPG,lefood-0089,within_category_cyclic,training
lefood-0089,leftover dataset/data_after/002/002_019_DSC_0244_aft.JPG,leftover dataset/data_after/002/002_020_DSC_0248_aft.JPG,lefood-0090,within_category_cyclic,training
lefood-0090,leftover dataset/data_after/002/002_020_DSC_0248_aft.JPG,leftover dataset/data_after/002/002_024_DSC_0307_aft.JPG,lefood-0091,within_category_cyclic,training
lefood-0091,leftover dataset/data_after/002/002_024_DSC_0307_aft.JPG,leftover dataset/data_after/002/002_025_DSC_0300_aft.JPG,lefood-0092,within_category_cyclic,training
lefood-0092,leftover dataset/data_after/002/002_025_DSC_0300_aft.JPG,leftover dataset/data_after/002/002_032_DSC_0410_aft.JPG,lefood-0093,within_category_cyclic,training
lefood-0093,leftover dataset/data_after/002/002_032_DSC_0410_aft.JPG,leftover dataset/data_after/002/002_033_DSC_0402_aft.JPG,lefood-0094,within_category_cyclic,training
lefood-0094,leftover dataset/data_after/002/002_033_DSC_0402_aft.JPG,leftover dataset/data_after/002/002_034_DSC_0396_aft.JPG,lefood-0095,within_category_cyclic,training
lefood-0095,leftover dataset/data_after/002/002_034_DSC_0396_aft.JPG,leftover dataset/data_after/002/002_035_DSC_0387_aft.JPG,lefood-0096,within_category_cyclic,training
lefood-0096,leftover dataset/data_after/002/002_035_DSC_0387_aft.JPG,leftover dataset/data_after/002/002_039_DSC_0495_aft.JPG,lefood-0097,within_category_cyclic,training
lefood-0097,leftover dataset/data_after/002/002_039_DSC_0495_aft.JPG,leftover dataset/data_after/002/002_040_DSC_0499_aft.JPG,lefood-0098,within_category_cyclic,training
lefood-0098,leftover dataset/data_after/002/002_040_DSC_0499_aft.JPG,leftover dataset/data_after/002/002_041_DSC_0489_aft.JPG,lefood-0099,within_category_cyclic,training
lefood-0099,leftover dataset/data_after/002/002_041_DSC_0489_aft.JPG,leftover dataset/data_after/002/002_042_DSC_0493_aft.JPG,lefood-0100,within_category_cyclic,training
lefood-0100,leftover dataset/data_after/002/002_042_DSC_0493_aft.JPG,leftover dataset/data_after/002/002_043_DSC_0482_aft.JPG,lefood-0101,within_category_cyclic,training
lefood-0101,leftover dataset/data_after/002/002_043_DSC_0482_aft.JPG,leftover dataset/data_after/002/002_047_DSC_0586_aft.JPG,lefood-0102,within_category_cyclic,training
lefood-0102,leftover dataset/data_after/002/002_047_DSC_0586_aft.JPG,leftover dataset/data_after/002/002_048_DSC_0599_aft.JPG,lefood-0103,within_category_cyclic,training
lefood-0103,leftover dataset/data_after/002/002_048_DSC_0599_aft.JPG,leftover dataset/data_after/002/002_056_DSC_0696_aft.JPG,lefood-0104,within_category_cyclic,training
lefood-0104,leftover dataset/data_after/002/002_056_DSC_0696_aft.JPG,leftover dataset/data_after/002/002_057_DSC_0697_aft.JPG,lefood-0105,within_category_cyclic,training
lefood-0105,leftover dataset/data_after/002/002_057_DSC_0697_aft.JPG,leftover dataset/data_after/002/002_058_DSC_0668_aft.JPG,lefood-0106,within_category_cyclic,training
lefood-0106,leftover dataset/data_after/002/002_058_DSC_0668_aft.JPG,leftover dataset/data_after/002/002_059_DSC_0684_aft.JPG,lefood-0107,within_category_cyclic,training
lefood-0107,leftover dataset/data_after/002/002_059_DSC_0684_aft.JPG,leftover dataset/data_after/002/002_060_DSC_0674_aft.JPG,lefood-0108,within_category_cyclic,training
lefood-0108,leftover dataset/data_after/002/002_060_DSC_0674_aft.JPG,leftover dataset/data_after/002/002_061_DSC_0679_aft.JPG,lefood-0109,within_category_cyclic,training
lefood-0109,leftover dataset/data_after/002/002_061_DSC_0679_aft.JPG,leftover dataset/data_after/002/002_068_DSC_0796_aft.JPG,lefood-0110,within_category_cyclic,training
lefood-0110,leftover dataset/data_after/002/002_068_DSC_0796_aft.JPG,leftover dataset/data_after/002/002_069_DSC_0798_aft.JPG,lefood-0111,within_category_cyclic,training
lefood-0111,leftover dataset/data_after/002/002_069_DSC_0798_aft.JPG,leftover dataset/data_after/002/002_070_DSC_0767_aft.JPG,lefood-0112,within_category_cyclic,training
lefood-0112,leftover dataset/data_after/002/002_070_DSC_0767_aft.JPG,leftover dataset/data_after/002/002_071_DSC_0782_aft.JPG,lefood-0113,within_category_cyclic,training
lefood-0113,leftover dataset/data_after/002/002_071_DSC_0782_aft.JPG,leftover dataset/data_after/002/002_072_DSC_0770_aft.JPG,lefood-0114,within_category_cyclic,training
lefood-0114,leftover dataset/data_after/002/002_072_DSC_0770_aft.JPG,leftover dataset/data_after/002/002_073_DSC_0774_aft.JPG,lefood-0115,within_category_cyclic,training
lefood-0115,leftover dataset/data_after/002/002_073_DSC_0774_aft.JPG,leftover dataset/data_after/002/002_080_DSC_0903_aft.JPG,lefood-0116,within_category_cyclic,training
lefood-0116,leftover dataset/data_after/002/002_080_DSC_0903_aft.JPG,leftover dataset/data_after/002/002_081_DSC_0891_aft.JPG,lefood-0117,within_category_cyclic,training
lefood-0117,leftover dataset/data_after/002/002_081_DSC_0891_aft.JPG,leftover dataset/data_after/002/002_082_DSC_0890_aft.JPG,lefood-0118,within_category_cyclic,training
lefood-0118,leftover dataset/data_after/002/002_082_DSC_0890_aft.JPG,leftover dataset/data_after/002/002_083_DSC_0899_aft.JPG,lefood-0119,within_category_cyclic,training
lefood-0119,leftover dataset/data_after/002/002_083_DSC_0899_aft.JPG,leftover dataset/data_after/002/002_089_DSC_1004_aft.JPG,lefood-0120,within_category_cyclic,training
lefood-0120,leftover dataset/data_after/002/002_089_DSC_1004_aft.JPG,leftover dataset/data_after/002/002_090_DSC_0010_aft.JPG,lefood-0121,within_category_cyclic,training
lefood-0121,leftover dataset/data_after/002/002_090_DSC_0010_aft.JPG,leftover dataset/data_after/002/002_091_DSC_0004_aft.JPG,lefood-0122,within_category_cyclic,training
lefood-0122,leftover dataset/data_after/002/002_091_DSC_0004_aft.JPG,leftover dataset/data_after/002/002_092_DSC_0995_aft.JPG,lefood-0123,within_category_cyclic,training
lefood-0123,leftover dataset/data_after/002/002_092_DSC_0995_aft.JPG,leftover dataset/data_after/002/002_093_DSC_1005_aft.JPG,lefood-0124,within_category_cyclic,training
lefood-0124,leftover dataset/data_after/002/002_093_DSC_1005_aft.JPG,leftover dataset/data_after/002/002_094_DSC_1011_aft.JPG,lefood-0125,within_category_cyclic,training
lefood-0125,leftover dataset/data_after/002/002_094_DSC_1011_aft.JPG,leftover dataset/data_after/002/002_099_DSC_0078_aft.JPG,lefood-0126,within_category_cyclic,training
lefood-0126,leftover dataset/data_after/002/002_099_DSC_0078_aft.JPG,leftover dataset/data_after/002/002_100_DSC_0098_aft.JPG,lefood-0127,within_category_cyclic,training
lefood-0127,leftover dataset/data_after/002/002_100_DSC_0098_aft.JPG,leftover dataset/data_after/002/002_101_DSC_0102_aft.JPG,lefood-0128,within_category_cyclic,training
lefood-0128,leftover dataset/data_after/002/002_101_DSC_0102_aft.JPG,leftover dataset/data_after/002/002_103_DSC_0114_aft.JPG,lefood-0130,within_category_cyclic,training
lefood-0130,leftover dataset/data_after/002/002_103_DSC_0114_aft.JPG,leftover dataset/data_after/002/002_104_DSC_0111_aft.JPG,lefood-0131,within_category_cyclic,training
lefood-0131,leftover dataset/data_after/002/002_104_DSC_0111_aft.JPG,leftover dataset/data_after/002/002_111_DSC_0204_aft.JPG,lefood-0132,within_category_cyclic,training
lefood-0132,leftover dataset/data_after/002/002_111_DSC_0204_aft.JPG,leftover dataset/data_after/002/002_112_DSC_0212_aft.JPG,lefood-0133,within_category_cyclic,training
lefood-0133,leftover dataset/data_after/002/002_112_DSC_0212_aft.JPG,leftover dataset/data_after/002/002_113_DSC_0200_aft.JPG,lefood-0134,within_category_cyclic,training
lefood-0134,leftover dataset/data_after/002/002_113_DSC_0200_aft.JPG,leftover dataset/data_after/002/002_114_DSC_0208_aft.JPG,lefood-0135,within_category_cyclic,training
lefood-0135,leftover dataset/data_after/002/002_114_DSC_0208_aft.JPG,leftover dataset/data_after/002/002_115_DSC_0195_aft.JPG,lefood-0136,within_category_cyclic,training
lefood-0136,leftover dataset/data_after/002/002_115_DSC_0195_aft.JPG,leftover dataset/data_after/002/002_120_DSC_0276_aft.JPG,lefood-0137,within_category_cyclic,training
lefood-0137,leftover dataset/data_after/002/002_120_DSC_0276_aft.JPG,leftover dataset/data_after/002/002_121_DSC_0290_aft.JPG,lefood-0138,within_category_cyclic,training
lefood-0138,leftover dataset/data_after/002/002_121_DSC_0290_aft.JPG,leftover dataset/data_after/002/002_122_DSC_0296_aft.JPG,lefood-0139,within_category_cyclic,training
lefood-0139,leftover dataset/data_after/002/002_122_DSC_0296_aft.JPG,leftover dataset/data_after/002/002_123_DSC_0285_aft.JPG,lefood-0140,within_category_cyclic,training
lefood-0140,leftover dataset/data_after/002/002_123_DSC_0285_aft.JPG,leftover dataset/data_after/002/002_130_DSC_0362_aft.JPG,lefood-0142,within_category_cyclic,training
lefood-0142,leftover dataset/data_after/002/002_130_DSC_0362_aft.JPG,leftover dataset/data_after/002/002_131_DSC_0397_aft.JPG,lefood-0143,within_category_cyclic,training
lefood-0143,leftover dataset/data_after/002/002_131_DSC_0397_aft.JPG,leftover dataset/data_after/002/002_132_DSC_0361_aft.JPG,lefood-0144,within_category_cyclic,training
lefood-0144,leftover dataset/data_after/002/002_132_DSC_0361_aft.JPG,leftover dataset/data_after/002/002_133_DSC_0383_aft.JPG,lefood-0145,within_category_cyclic,training
lefood-0145,leftover dataset/data_after/002/002_133_DSC_0383_aft.JPG,leftover dataset/data_after/002/002_138_DSC_0490_aft.JPG,lefood-0146,within_category_cyclic,training
lefood-0146,leftover dataset/data_after/002/002_138_DSC_0490_aft.JPG,leftover dataset/data_after/002/002_139_DSC_0491_aft.JPG,lefood-0147,within_category_cyclic,training
lefood-0147,leftover dataset/data_after/002/002_139_DSC_0491_aft.JPG,leftover dataset/data_after/002/002_140_DSC_0469_aft.JPG,lefood-0148,within_category_cyclic,training
lefood-0148,leftover dataset/data_after/002/002_140_DSC_0469_aft.JPG,leftover dataset/data_after/002/002_141_DSC_0467_aft.JPG,lefood-0149,within_category_cyclic,training
lefood-0149,leftover dataset/data_after/002/002_141_DSC_0467_aft.JPG,leftover dataset/data_after/002/002_142_DSC_0472_aft.JPG,lefood-0150,within_category_cyclic,training
lefood-0150,leftover dataset/data_after/002/002_142_DSC_0472_aft.JPG,leftover dataset/data_after/002/002_143_DSC_0458_aft.JPG,lefood-0151,within_category_cyclic,training
lefood-0151,leftover dataset/data_after/002/002_143_DSC_0458_aft.JPG,leftover dataset/data_after/002/002_149_DSC_0567_aft.JPG,lefood-0152,within_category_cyclic,training
lefood-0152,leftover dataset/data_after/002/002_149_DSC_0567_aft.JPG,leftover dataset/data_after/002/002_150_DSC_0561_aft.JPG,lefood-0153,within_category_cyclic,training
lefood-0153,leftover dataset/data_after/002/002_150_DSC_0561_aft.JPG,leftover dataset/data_after/002/002_151_DSC_0556_aft.JPG,lefood-0154,within_category_cyclic,training
lefood-0154,leftover dataset/data_after/002/002_151_DSC_0556_aft.JPG,leftover dataset/data_after/002/002_152_DSC_0576_aft.JPG,lefood-0155,within_category_cyclic,training
lefood-0155,leftover dataset/data_after/002/002_152_DSC_0576_aft.JPG,leftover dataset/data_after/002/002_153_DSC_0571_aft.JPG,lefood-0156,within_category_cyclic,training
lefood-0156,leftover dataset/data_after/002/002_153_DSC_0571_aft.JPG,leftover dataset/data_after/002/002_154_DSC_0602_aft.JPG,lefood-0157,within_category_cyclic,training
lefood-0157,leftover dataset/data_after/002/002_154_DSC_0602_aft.JPG,leftover dataset/data_after/002/002_157_DSC_0632_aft.JPG,lefood-0158,within_category_cyclic,training
lefood-0158,leftover dataset/data_after/002/002_157_DSC_0632_aft.JPG,leftover dataset/data_after/002/002_004_DSC_0085_aft.JPG,lefood-0081,within_category_cyclic,training
lefood-0160,leftover dataset/data_after/004/004_159_DSC_0107_aft.JPG,leftover dataset/data_after/004/004_160_DSC_0094_aft.JPG,lefood-0161,within_category_cyclic,training
lefood-0161,leftover dataset/data_after/004/004_160_DSC_0094_aft.JPG,leftover dataset/data_after/004/004_161_DSC_0100_aft.JPG,lefood-0162,within_category_cyclic,training
lefood-0162,leftover dataset/data_after/004/004_161_DSC_0100_aft.JPG,leftover dataset/data_after/004/004_162_DSC_0084_aft.JPG,lefood-0163,within_category_cyclic,training
lefood-0163,leftover dataset/data_after/004/004_162_DSC_0084_aft.JPG,leftover dataset/data_after/004/004_163_DSC_0081_aft.JPG,lefood-0164,within_category_cyclic,training
lefood-0164,leftover dataset/data_after/004/004_163_DSC_0081_aft.JPG,leftover dataset/data_after/004/004_165_DSC_0075_aft.JPG,lefood-0166,within_category_cyclic,training
